id,modulo,nivel,modelo,nome_do_teste,resultado,erro_ts_code,erro_mensagem,arquivo,linha
50,UsersController,integracao,chatgpt,UsersController (integration) PUT /users/:id deve atualizar usuário com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
51,UsersController,integracao,chatgpt,UsersController (integration) PUT /users/:id deve retornar 404 ao atualizar usuário inexistente,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
52,UsersController,integracao,chatgpt,UsersController (integration) PUT /users/:id deve retornar 409 ao atualizar email para um já existente,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
53,UsersController,integracao,chatgpt,UsersController (integration) PUT /users/:id deve retornar 400 para payload inválido,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
54,UsersController,integracao,chatgpt,UsersController (integration) PUT /users/:id deve retornar 401 sem token,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
55,UsersController,integracao,chatgpt,UsersController (integration) DELETE /users/:id deve desativar usuário com sucesso e retornar 204,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
56,UsersController,integracao,chatgpt,UsersController (integration) DELETE /users/:id deve retornar 404 ao deletar usuário inexistente,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
57,UsersController,integracao,chatgpt,UsersController (integration) DELETE /users/:id deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/users.controller.spec.ts,
58,EventsController,integracao,chatgpt,EventsController (integration) GET /events deve listar eventos com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
59,EventsController,integracao,chatgpt,EventsController (integration) GET /events deve retornar lista vazia quando não houver eventos,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
60,EventsController,integracao,chatgpt,EventsController (integration) GET /events/:id deve buscar evento por id com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
61,EventsController,integracao,chatgpt,EventsController (integration) GET /events/:id deve retornar 404 quando evento não existir,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
62,EventsController,integracao,chatgpt,EventsController (integration) POST /events deve criar evento com sucesso e retornar 201,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
63,EventsController,integracao,chatgpt,EventsController (integration) POST /events deve retornar 401 ao criar evento sem token JWT,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
64,EventsController,integracao,chatgpt,EventsController (integration) POST /events deve retornar 400 para payload inválido,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
65,EventsController,integracao,chatgpt,EventsController (integration) POST /events deve retornar 400 quando campos obrigatórios não forem enviados,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
66,EventsController,integracao,chatgpt,EventsController (integration) PUT /events/:id deve atualizar evento com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
67,EventsController,integracao,chatgpt,EventsController (integration) PUT /events/:id deve retornar 404 ao atualizar evento inexistente,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
68,EventsController,integracao,chatgpt,EventsController (integration) PUT /events/:id deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
69,EventsController,integracao,chatgpt,EventsController (integration) PUT /events/:id deve retornar 400 para payload inválido,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
70,EventsController,integracao,chatgpt,EventsController (integration) POST /events/:id/cancel deve cancelar evento com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
71,EventsController,integracao,chatgpt,EventsController (integration) POST /events/:id/cancel deve retornar 404 ao cancelar evento inexistente,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
72,EventsController,integracao,chatgpt,EventsController (integration) POST /events/:id/cancel deve retornar 401 ao cancelar evento sem token,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
73,EventsController,integracao,chatgpt,EventsController (integration) POST /events/:id/cancel deve retornar 400 ao cancelar evento já cancelado,passou,,,src/tests-ia/chatgpt/integration/events.controller.spec.ts,
74,SalesController,integracao,chatgpt,SalesController (integration) POST /sales deve criar venda com sucesso e retornar 201,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
75,SalesController,integracao,chatgpt,SalesController (integration) POST /sales deve retornar 401 ao criar venda sem token JWT,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
76,SalesController,integracao,chatgpt,SalesController (integration) POST /sales deve retornar 404 quando ticket não existir,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
77,SalesController,integracao,chatgpt,SalesController (integration) POST /sales deve retornar 400 quando estoque for insuficiente,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
78,SalesController,integracao,chatgpt,SalesController (integration) POST /sales deve retornar 400 para payload inválido,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
79,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/user/:userId deve listar vendas do usuário com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
80,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/user/:userId deve retornar lista vazia para usuário sem vendas,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
81,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/user/:userId deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
82,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/:id deve buscar venda por id com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
83,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/:id deve retornar 404 quando venda não existir,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
84,SalesController,integracao,chatgpt,SalesController (integration) GET /sales/:id deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
85,SalesController,integracao,chatgpt,SalesController (integration) POST /sales/:id/cancel deve cancelar venda com sucesso e retornar 200,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
86,SalesController,integracao,chatgpt,SalesController (integration) POST /sales/:id/cancel deve retornar 400 quando venda já estiver cancelada,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
87,SalesController,integracao,chatgpt,SalesController (integration) POST /sales/:id/cancel deve retornar 404 quando venda não existir,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
88,SalesController,integracao,chatgpt,SalesController (integration) POST /sales/:id/cancel deve retornar 401 sem token JWT,passou,,,src/tests-ia/chatgpt/integration/sales.controller.spec.ts,
89,UsersService,unitario,deepseek,UsersService create should successfully create a new user when email is not in use,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
90,UsersService,unitario,deepseek,UsersService create should throw ConflictException when email already exists,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
91,UsersService,unitario,deepseek,"UsersService create should validate input data (email format, password presence)",passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
92,UsersService,unitario,deepseek,UsersService findOne should successfully find and return a user by id,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
93,UsersService,unitario,deepseek,UsersService findOne should throw NotFoundException when user does not exist,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
94,UsersService,unitario,deepseek,"UsersService findOne should validate id format (accepts any string, validation should be at controller level)",passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
95,UsersService,unitario,deepseek,UsersService findByEmail should successfully find and return a user by email,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
96,UsersService,unitario,deepseek,UsersService findByEmail should return null when user is not found by email,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
97,UsersService,unitario,deepseek,"UsersService findByEmail should validate email format (accepts any string, validation should be at controller level)",passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
98,UsersService,unitario,deepseek,UsersService update should successfully update user without changing email,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
99,UsersService,unitario,deepseek,UsersService update should successfully update user with new email when email is not in use,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
100,UsersService,unitario,deepseek,UsersService update should successfully update user with new password by hashing it,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
101,UsersService,unitario,deepseek,UsersService update should throw ConflictException when updating to an email that is already in use,falhou,,"Expected substring: ""Email already in use"" / Received message: ""User not found""",src/tests-ia/deepseek/unit/users.service.spec.ts,
102,UsersService,unitario,deepseek,UsersService update should throw NotFoundException when trying to update a non-existent user,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
103,UsersService,unitario,deepseek,UsersService update should not check email existence if email is the same as current user email,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
104,UsersService,unitario,deepseek,UsersService update should handle updating multiple fields simultaneously,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
105,UsersService,unitario,deepseek,UsersService softDelete should successfully soft delete a user by setting isActive to false,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
106,UsersService,unitario,deepseek,UsersService softDelete should throw NotFoundException when trying to soft delete a non-existent user,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
107,UsersService,unitario,deepseek,UsersService softDelete should allow soft deleting an already inactive user,passou,,,src/tests-ia/deepseek/unit/users.service.spec.ts,
108,EventsService,unitario,deepseek,create > should successfully create a new event,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
109,EventsService,unitario,deepseek,should handle date conversion correctly,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
110,EventsService,unitario,deepseek,should validate input data - capacity must be positive,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
111,EventsService,unitario,deepseek,should handle missing optional fields in DTO,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
112,EventsService,unitario,deepseek,findAll > should successfully return all events,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
113,EventsService,unitario,deepseek,should return empty array when no events exist,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
114,EventsService,unitario,deepseek,findOne > should successfully find an event by id,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
115,EventsService,unitario,deepseek,should throw NotFoundException when event does not exist,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
116,EventsService,unitario,deepseek,should validate id format,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
117,EventsService,unitario,deepseek,update > should successfully update an event with valid data,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
118,EventsService,unitario,deepseek,should successfully update event capacity when no tickets sold,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
119,EventsService,unitario,deepseek,should successfully update event capacity when some tickets sold,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
120,EventsService,unitario,deepseek,should throw BadRequestException when updating a cancelled event,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
121,EventsService,unitario,deepseek,should throw BadRequestException when reducing capacity below sold tickets,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
122,EventsService,unitario,deepseek,should not update capacity if not provided in DTO,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
123,EventsService,unitario,deepseek,should update date when provided in DTO,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
124,EventsService,unitario,deepseek,should handle partial updates correctly,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
125,EventsService,unitario,deepseek,should throw NotFoundException when trying to update non-existent event,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
126,EventsService,unitario,deepseek,cancel > should successfully cancel an active event with no tickets sold,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
127,EventsService,unitario,deepseek,should throw BadRequestException when event is already cancelled,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
128,EventsService,unitario,deepseek,should throw BadRequestException when event has tickets sold,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
129,EventsService,unitario,deepseek,should calculate sold tickets correctly for cancellation check,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
130,EventsService,unitario,deepseek,should throw NotFoundException when trying to cancel non-existent event,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
131,EventsService,unitario,deepseek,should validate event id for cancellation,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
132,EventsService,unitario,deepseek,should preserve all other event properties when cancelling,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
133,EventsService,unitario,deepseek,Integration scenarios > should handle full lifecycle: create -> update -> cancel,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
134,EventsService,unitario,deepseek,should prevent update after cancellation,nao_executado,TS2352,Conversion of type '{ id: string; name: string; description: string; date: Date; location: string; capacity: number; availableTickets: number; status: EventStatus.ACTIVE; createdBy: User; tickets: never[]; createdAt: Date; updatedAt: Date; }' to type 'Event' may be a mistake because neither type suf,src/tests-ia/deepseek/unit/events.service.spec.ts,27
135,SalesService,unitario,deepseek,create > should successfully create a sale with valid data,nao_executado,TS2352,"Conversion of type '{ id: string; name: string; price: number; quantity: number; event: Event; createdAt: Date; updatedAt: Date; }' to type 'Ticket' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.",src/tests-ia/deepseek/unit/sales.service.spec.ts,30
136,SalesService,unitario,deepseek,should throw NotFoundException when ticket does not exist,nao_executado,TS2352,"Conversion of type '{ id: string; name: string; price: number; quantity: number; event: Event; createdAt: Date; updatedAt: Date; }' to type 'Ticket' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.",src/tests-ia/deepseek/unit/sales.service.spec.ts,30
